target,source,dataset,model,method,seed,ap,precision_at_5,recall_at_5
positional,real,adult,logreg,linshap,0,0.4524891774891775,0.4,0.4
positional,random,adult,logreg,linshap,0,0.525974025974026,0.4,0.4
positional,permuted,adult,logreg,linshap,0,0.3965367965367965,0.2,0.2
positional,constant,adult,logreg,linshap,0,0.35714285714285715,1.0,1.0
positional,oracle,adult,logreg,linshap,0,1.0,1.0,1.0
random,real,adult,logreg,linshap,0,0.3393073593073593,0.4,0.4
random,random,adult,logreg,linshap,0,0.36272727272727273,0.4,0.4
random,permuted,adult,logreg,linshap,0,0.37380952380952376,0.2,0.2
random,constant,adult,logreg,linshap,0,0.35714285714285715,0.6,0.6
random,oracle,adult,logreg,linshap,0,1.0,1.0,1.0
self_top5,real,adult,logreg,linshap,0,1.0,1.0,1.0
self_top5,random,adult,logreg,linshap,0,0.539047619047619,0.6,0.6
self_top5,permuted,adult,logreg,linshap,0,0.7642857142857142,0.6,0.6
self_top5,constant,adult,logreg,linshap,0,0.35714285714285715,0.4,0.4
self_top5,oracle,adult,logreg,linshap,0,1.0,1.0,1.0
loso_top5,real,adult,logreg,linshap,0,1.0,1.0,1.0
loso_top5,random,adult,logreg,linshap,0,0.539047619047619,0.6,0.6
loso_top5,permuted,adult,logreg,linshap,0,0.7642857142857142,0.6,0.6
loso_top5,constant,adult,logreg,linshap,0,0.35714285714285715,0.4,0.4
loso_top5,oracle,adult,logreg,linshap,0,1.0,1.0,1.0
positional,real,adult,logreg,linshap,1,0.4524891774891775,0.4,0.4
positional,random,adult,logreg,linshap,1,0.800909090909091,0.8,0.8
positional,permuted,adult,logreg,linshap,1,0.46571428571428575,0.4,0.4
positional,constant,adult,logreg,linshap,1,0.35714285714285715,1.0,1.0
positional,oracle,adult,logreg,linshap,1,1.0,1.0,1.0
random,real,adult,logreg,linshap,1,0.3393073593073593,0.4,0.4
random,random,adult,logreg,linshap,1,0.4922222222222221,0.6,0.6
random,permuted,adult,logreg,linshap,1,0.3607326007326007,0.2,0.2
random,constant,adult,logreg,linshap,1,0.35714285714285715,0.6,0.6
random,oracle,adult,logreg,linshap,1,1.0,1.0,1.0
self_top5,real,adult,logreg,linshap,1,1.0,1.0,1.0
self_top5,random,adult,logreg,linshap,1,0.44939393939393935,0.4,0.4
self_top5,permuted,adult,logreg,linshap,1,0.676060606060606,0.6,0.6
self_top5,constant,adult,logreg,linshap,1,0.35714285714285715,0.4,0.4
self_top5,oracle,adult,logreg,linshap,1,1.0,1.0,1.0
loso_top5,real,adult,logreg,linshap,1,1.0,1.0,1.0
loso_top5,random,adult,logreg,linshap,1,0.44939393939393935,0.4,0.4
loso_top5,permuted,adult,logreg,linshap,1,0.676060606060606,0.6,0.6
loso_top5,constant,adult,logreg,linshap,1,0.35714285714285715,0.4,0.4
loso_top5,oracle,adult,logreg,linshap,1,1.0,1.0,1.0
positional,real,adult,logreg,linshap,2,0.4524891774891775,0.4,0.4
positional,random,adult,logreg,linshap,2,0.3163003663003663,0.2,0.2
positional,permuted,adult,logreg,linshap,2,0.7644444444444445,0.6,0.6
positional,constant,adult,logreg,linshap,2,0.35714285714285715,1.0,1.0
positional,oracle,adult,logreg,linshap,2,1.0,1.0,1.0
random,real,adult,logreg,linshap,2,0.3393073593073593,0.4,0.4
random,random,adult,logreg,linshap,2,0.5111111111111111,0.4,0.4
random,permuted,adult,logreg,linshap,2,0.8083333333333333,0.6,0.6
random,constant,adult,logreg,linshap,2,0.35714285714285715,0.6,0.6
random,oracle,adult,logreg,linshap,2,1.0,1.0,1.0
self_top5,real,adult,logreg,linshap,2,1.0,1.0,1.0
self_top5,random,adult,logreg,linshap,2,0.46025641025641023,0.2,0.2
self_top5,permuted,adult,logreg,linshap,2,0.4555555555555555,0.4,0.4
self_top5,constant,adult,logreg,linshap,2,0.35714285714285715,0.4,0.4
self_top5,oracle,adult,logreg,linshap,2,1.0,1.0,1.0
loso_top5,real,adult,logreg,linshap,2,1.0,1.0,1.0
loso_top5,random,adult,logreg,linshap,2,0.46025641025641023,0.2,0.2
loso_top5,permuted,adult,logreg,linshap,2,0.4555555555555555,0.4,0.4
loso_top5,constant,adult,logreg,linshap,2,0.35714285714285715,0.4,0.4
loso_top5,oracle,adult,logreg,linshap,2,1.0,1.0,1.0
positional,real,adult,logreg,linshap,3,0.4524891774891775,0.4,0.4
positional,random,adult,logreg,linshap,3,0.6093939393939394,0.6,0.6
positional,permuted,adult,logreg,linshap,3,0.23933066933066932,0.0,0.0
positional,constant,adult,logreg,linshap,3,0.35714285714285715,1.0,1.0
positional,oracle,adult,logreg,linshap,3,1.0,1.0,1.0
random,real,adult,logreg,linshap,3,0.3393073593073593,0.4,0.4
random,random,adult,logreg,linshap,3,0.663131313131313,0.6,0.6
random,permuted,adult,logreg,linshap,3,0.3327272727272727,0.2,0.2
random,constant,adult,logreg,linshap,3,0.35714285714285715,0.6,0.6
random,oracle,adult,logreg,linshap,3,1.0,1.0,1.0
self_top5,real,adult,logreg,linshap,3,1.0,1.0,1.0
self_top5,random,adult,logreg,linshap,3,0.37415584415584413,0.4,0.4
self_top5,permuted,adult,logreg,linshap,3,0.3602564102564102,0.2,0.2
self_top5,constant,adult,logreg,linshap,3,0.35714285714285715,0.4,0.4
self_top5,oracle,adult,logreg,linshap,3,1.0,1.0,1.0
loso_top5,real,adult,logreg,linshap,3,1.0,1.0,1.0
loso_top5,random,adult,logreg,linshap,3,0.37415584415584413,0.4,0.4
loso_top5,permuted,adult,logreg,linshap,3,0.3602564102564102,0.2,0.2
loso_top5,constant,adult,logreg,linshap,3,0.35714285714285715,0.4,0.4
loso_top5,oracle,adult,logreg,linshap,3,1.0,1.0,1.0
positional,real,adult,logreg,linshap,4,0.4524891774891775,0.4,0.4
positional,random,adult,logreg,linshap,4,0.28195693195693194,0.2,0.2
positional,permuted,adult,logreg,linshap,4,0.432967032967033,0.4,0.4
positional,constant,adult,logreg,linshap,4,0.35714285714285715,1.0,1.0
positional,oracle,adult,logreg,linshap,4,1.0,1.0,1.0
random,real,adult,logreg,linshap,4,0.3393073593073593,0.4,0.4
random,random,adult,logreg,linshap,4,0.4529670329670329,0.6,0.6
random,permuted,adult,logreg,linshap,4,0.5714285714285714,0.4,0.4
random,constant,adult,logreg,linshap,4,0.35714285714285715,0.6,0.6
random,oracle,adult,logreg,linshap,4,1.0,1.0,1.0
self_top5,real,adult,logreg,linshap,4,1.0,1.0,1.0
self_top5,random,adult,logreg,linshap,4,0.4022222222222222,0.4,0.4
self_top5,permuted,adult,logreg,linshap,4,0.7933333333333332,0.8,0.8
self_top5,constant,adult,logreg,linshap,4,0.35714285714285715,0.4,0.4
self_top5,oracle,adult,logreg,linshap,4,1.0,1.0,1.0
loso_top5,real,adult,logreg,linshap,4,1.0,1.0,1.0
loso_top5,random,adult,logreg,linshap,4,0.4022222222222222,0.4,0.4
loso_top5,permuted,adult,logreg,linshap,4,0.7933333333333332,0.8,0.8
loso_top5,constant,adult,logreg,linshap,4,0.35714285714285715,0.4,0.4
loso_top5,oracle,adult,logreg,linshap,4,1.0,1.0,1.0
positional,real,adult,logreg,lime,0,0.532967032967033,0.4,0.4
positional,random,adult,logreg,lime,0,0.3275757575757575,0.2,0.2
positional,permuted,adult,logreg,lime,0,0.4380952380952381,0.4,0.4
positional,constant,adult,logreg,lime,0,0.35714285714285715,1.0,1.0
positional,oracle,adult,logreg,lime,0,1.0,1.0,1.0
random,real,adult,logreg,lime,0,0.6366666666666667,0.6,0.6
random,random,adult,logreg,lime,0,0.361060606060606,0.4,0.4
random,permuted,adult,logreg,lime,0,0.3933333333333333,0.4,0.4
random,constant,adult,logreg,lime,0,0.35714285714285715,0.6,0.6
random,oracle,adult,logreg,lime,0,1.0,1.0,1.0
self_top5,real,adult,logreg,lime,0,1.0,1.0,1.0
self_top5,random,adult,logreg,lime,0,0.800909090909091,0.8,0.8
self_top5,permuted,adult,logreg,lime,0,0.3485897435897436,0.2,0.2
self_top5,constant,adult,logreg,lime,0,0.35714285714285715,0.4,0.4
self_top5,oracle,adult,logreg,lime,0,1.0,1.0,1.0
loso_top5,real,adult,logreg,lime,0,1.0,1.0,1.0
loso_top5,random,adult,logreg,lime,0,0.800909090909091,0.8,0.8
loso_top5,permuted,adult,logreg,lime,0,0.3485897435897436,0.2,0.2
loso_top5,constant,adult,logreg,lime,0,0.35714285714285715,0.4,0.4
loso_top5,oracle,adult,logreg,lime,0,1.0,1.0,1.0
positional,real,adult,logreg,lime,1,0.5186813186813186,0.4,0.4
positional,random,adult,logreg,lime,1,0.39904761904761904,0.4,0.4
positional,permuted,adult,logreg,lime,1,0.5119408369408369,0.2,0.2
positional,constant,adult,logreg,lime,1,0.35714285714285715,1.0,1.0
positional,oracle,adult,logreg,lime,1,1.0,1.0,1.0
random,real,adult,logreg,lime,1,0.6176190476190475,0.6,0.6
random,random,adult,logreg,lime,1,0.35987012987012984,0.4,0.4
random,permuted,adult,logreg,lime,1,0.557936507936508,0.4,0.4
random,constant,adult,logreg,lime,1,0.35714285714285715,0.6,0.6
random,oracle,adult,logreg,lime,1,1.0,1.0,1.0
self_top5,real,adult,logreg,lime,1,1.0,1.0,1.0
self_top5,random,adult,logreg,lime,1,0.3653479853479853,0.4,0.4
self_top5,permuted,adult,logreg,lime,1,0.4552380952380953,0.2,0.2
self_top5,constant,adult,logreg,lime,1,0.35714285714285715,0.4,0.4
self_top5,oracle,adult,logreg,lime,1,1.0,1.0,1.0
loso_top5,real,adult,logreg,lime,1,1.0,1.0,1.0
loso_top5,random,adult,logreg,lime,1,0.3653479853479853,0.4,0.4
loso_top5,permuted,adult,logreg,lime,1,0.4552380952380953,0.2,0.2
loso_top5,constant,adult,logreg,lime,1,0.35714285714285715,0.4,0.4
loso_top5,oracle,adult,logreg,lime,1,1.0,1.0,1.0
positional,real,adult,logreg,lime,2,0.532967032967033,0.4,0.4
positional,random,adult,logreg,lime,2,0.37082251082251083,0.4,0.4
positional,permuted,adult,logreg,lime,2,0.6310606060606061,0.4,0.4
positional,constant,adult,logreg,lime,2,0.35714285714285715,1.0,1.0
positional,oracle,adult,logreg,lime,2,1.0,1.0,1.0
random,real,adult,logreg,lime,2,0.6533333333333333,0.6,0.6
random,random,adult,logreg,lime,2,0.2819336219336219,0.0,0.0
random,permuted,adult,logreg,lime,2,0.4272222222222223,0.4,0.4
random,constant,adult,logreg,lime,2,0.35714285714285715,0.6,0.6
random,oracle,adult,logreg,lime,2,1.0,1.0,1.0
self_top5,real,adult,logreg,lime,2,1.0,1.0,1.0
self_top5,random,adult,logreg,lime,2,0.4374114774114774,0.2,0.2
self_top5,permuted,adult,logreg,lime,2,0.43714285714285717,0.4,0.4
self_top5,constant,adult,logreg,lime,2,0.35714285714285715,0.4,0.4
self_top5,oracle,adult,logreg,lime,2,1.0,1.0,1.0
loso_top5,real,adult,logreg,lime,2,1.0,1.0,1.0
loso_top5,random,adult,logreg,lime,2,0.4374114774114774,0.2,0.2
loso_top5,permuted,adult,logreg,lime,2,0.43714285714285717,0.4,0.4
loso_top5,constant,adult,logreg,lime,2,0.35714285714285715,0.4,0.4
loso_top5,oracle,adult,logreg,lime,2,1.0,1.0,1.0
positional,real,adult,logreg,lime,3,0.532967032967033,0.4,0.4
positional,random,adult,logreg,lime,3,0.42272727272727273,0.4,0.4
positional,permuted,adult,logreg,lime,3,0.4066233766233766,0.4,0.4
positional,constant,adult,logreg,lime,3,0.35714285714285715,1.0,1.0
positional,oracle,adult,logreg,lime,3,1.0,1.0,1.0
random,real,adult,logreg,lime,3,0.6366666666666667,0.6,0.6
random,random,adult,logreg,lime,3,0.81,0.8,0.8
random,permuted,adult,logreg,lime,3,0.44904761904761903,0.4,0.4
random,constant,adult,logreg,lime,3,0.35714285714285715,0.6,0.6
random,oracle,adult,logreg,lime,3,1.0,1.0,1.0
self_top5,real,adult,logreg,lime,3,1.0,1.0,1.0
self_top5,random,adult,logreg,lime,3,0.911111111111111,0.8,0.8
self_top5,permuted,adult,logreg,lime,3,0.42930402930402933,0.2,0.2
self_top5,constant,adult,logreg,lime,3,0.35714285714285715,0.4,0.4
self_top5,oracle,adult,logreg,lime,3,1.0,1.0,1.0
loso_top5,real,adult,logreg,lime,3,1.0,1.0,1.0
loso_top5,random,adult,logreg,lime,3,0.911111111111111,0.8,0.8
loso_top5,permuted,adult,logreg,lime,3,0.42930402930402933,0.2,0.2
loso_top5,constant,adult,logreg,lime,3,0.35714285714285715,0.4,0.4
loso_top5,oracle,adult,logreg,lime,3,1.0,1.0,1.0
positional,real,adult,logreg,lime,4,0.49868131868131865,0.4,0.4
positional,random,adult,logreg,lime,4,0.3881313131313131,0.2,0.2
positional,permuted,adult,logreg,lime,4,0.8333333333333333,0.6,0.6
positional,constant,adult,logreg,lime,4,0.35714285714285715,1.0,1.0
positional,oracle,adult,logreg,lime,4,1.0,1.0,1.0
random,real,adult,logreg,lime,4,0.5776190476190477,0.4,0.4
random,random,adult,logreg,lime,4,0.6775757575757575,0.6,0.6
random,permuted,adult,logreg,lime,4,0.81,0.8,0.8
random,constant,adult,logreg,lime,4,0.35714285714285715,0.6,0.6
random,oracle,adult,logreg,lime,4,1.0,1.0,1.0
self_top5,real,adult,logreg,lime,4,1.0,1.0,1.0
self_top5,random,adult,logreg,lime,4,0.40476190476190477,0.4,0.4
self_top5,permuted,adult,logreg,lime,4,0.3326406926406926,0.2,0.2
self_top5,constant,adult,logreg,lime,4,0.35714285714285715,0.4,0.4
self_top5,oracle,adult,logreg,lime,4,1.0,1.0,1.0
loso_top5,real,adult,logreg,lime,4,0.9266666666666665,0.8,0.8
loso_top5,random,adult,logreg,lime,4,0.38476190476190475,0.4,0.4
loso_top5,permuted,adult,logreg,lime,4,0.39809523809523806,0.4,0.4
loso_top5,constant,adult,logreg,lime,4,0.35714285714285715,0.4,0.4
loso_top5,oracle,adult,logreg,lime,4,1.0,1.0,1.0
positional,real,adult,rf,treeshap,0,0.4093040293040293,0.4,0.4
positional,random,adult,rf,treeshap,0,0.5863003663003663,0.6,0.6
positional,permuted,adult,rf,treeshap,0,0.31796536796536795,0.2,0.2
positional,constant,adult,rf,treeshap,0,0.35714285714285715,1.0,1.0
positional,oracle,adult,rf,treeshap,0,1.0,1.0,1.0
random,real,adult,rf,treeshap,0,0.495970695970696,0.4,0.4
random,random,adult,rf,treeshap,0,0.36751248751248755,0.4,0.4
random,permuted,adult,rf,treeshap,0,0.4634920634920635,0.4,0.4
random,constant,adult,rf,treeshap,0,0.35714285714285715,0.6,0.6
random,oracle,adult,rf,treeshap,0,1.0,1.0,1.0
self_top5,real,adult,rf,treeshap,0,1.0,1.0,1.0
self_top5,random,adult,rf,treeshap,0,0.44860028860028855,0.2,0.2
self_top5,permuted,adult,rf,treeshap,0,0.46510989010989007,0.2,0.2
self_top5,constant,adult,rf,treeshap,0,0.35714285714285715,0.4,0.4
self_top5,oracle,adult,rf,treeshap,0,1.0,1.0,1.0
loso_top5,real,adult,rf,treeshap,0,1.0,1.0,1.0
loso_top5,random,adult,rf,treeshap,0,0.44860028860028855,0.2,0.2
loso_top5,permuted,adult,rf,treeshap,0,0.46510989010989007,0.2,0.2
loso_top5,constant,adult,rf,treeshap,0,0.35714285714285715,0.4,0.4
loso_top5,oracle,adult,rf,treeshap,0,1.0,1.0,1.0
positional,real,adult,rf,treeshap,1,0.42358974358974355,0.4,0.4
positional,random,adult,rf,treeshap,1,0.7435897435897436,0.6,0.6
positional,permuted,adult,rf,treeshap,1,0.5769230769230769,0.6,0.6
positional,constant,adult,rf,treeshap,1,0.35714285714285715,1.0,1.0
positional,oracle,adult,rf,treeshap,1,1.0,1.0,1.0
random,real,adult,rf,treeshap,1,0.49914529914529915,0.4,0.4
random,random,adult,rf,treeshap,1,0.5560606060606061,0.4,0.4
random,permuted,adult,rf,treeshap,1,0.5315262515262515,0.4,0.4
random,constant,adult,rf,treeshap,1,0.35714285714285715,0.6,0.6
random,oracle,adult,rf,treeshap,1,1.0,1.0,1.0
self_top5,real,adult,rf,treeshap,1,1.0,1.0,1.0
self_top5,random,adult,rf,treeshap,1,0.32813519813519815,0.4,0.4
self_top5,permuted,adult,rf,treeshap,1,0.3902564102564102,0.2,0.2
self_top5,constant,adult,rf,treeshap,1,0.35714285714285715,0.4,0.4
self_top5,oracle,adult,rf,treeshap,1,1.0,1.0,1.0
loso_top5,real,adult,rf,treeshap,1,1.0,1.0,1.0
loso_top5,random,adult,rf,treeshap,1,0.32813519813519815,0.4,0.4
loso_top5,permuted,adult,rf,treeshap,1,0.3902564102564102,0.2,0.2
loso_top5,constant,adult,rf,treeshap,1,0.35714285714285715,0.4,0.4
loso_top5,oracle,adult,rf,treeshap,1,1.0,1.0,1.0
positional,real,adult,rf,treeshap,2,0.42358974358974355,0.4,0.4
positional,random,adult,rf,treeshap,2,0.4619047619047619,0.2,0.2
positional,permuted,adult,rf,treeshap,2,0.3007326007326008,0.2,0.2
positional,constant,adult,rf,treeshap,2,0.35714285714285715,1.0,1.0
positional,oracle,adult,rf,treeshap,2,1.0,1.0,1.0
random,real,adult,rf,treeshap,2,0.5102564102564102,0.4,0.4
random,random,adult,rf,treeshap,2,0.29978354978354976,0.2,0.2
random,permuted,adult,rf,treeshap,2,0.3280952380952381,0.4,0.4
random,constant,adult,rf,treeshap,2,0.35714285714285715,0.6,0.6
random,oracle,adult,rf,treeshap,2,1.0,1.0,1.0
self_top5,real,adult,rf,treeshap,2,1.0,1.0,1.0
self_top5,random,adult,rf,treeshap,2,0.4841558441558442,0.4,0.4
self_top5,permuted,adult,rf,treeshap,2,0.3912698412698412,0.2,0.2
self_top5,constant,adult,rf,treeshap,2,0.35714285714285715,0.4,0.4
self_top5,oracle,adult,rf,treeshap,2,1.0,1.0,1.0
loso_top5,real,adult,rf,treeshap,2,1.0,1.0,1.0
loso_top5,random,adult,rf,treeshap,2,0.4841558441558442,0.4,0.4
loso_top5,permuted,adult,rf,treeshap,2,0.3912698412698412,0.2,0.2
loso_top5,constant,adult,rf,treeshap,2,0.35714285714285715,0.4,0.4
loso_top5,oracle,adult,rf,treeshap,2,1.0,1.0,1.0
positional,real,adult,rf,treeshap,3,0.3902564102564102,0.4,0.4
positional,random,adult,rf,treeshap,3,0.5632034632034633,0.4,0.4
positional,permuted,adult,rf,treeshap,3,0.4965367965367965,0.2,0.2
positional,constant,adult,rf,treeshap,3,0.35714285714285715,1.0,1.0
positional,oracle,adult,rf,treeshap,3,1.0,1.0,1.0
random,real,adult,rf,treeshap,3,0.49914529914529915,0.4,0.4
random,random,adult,rf,treeshap,3,0.5099567099567099,0.4,0.4
random,permuted,adult,rf,treeshap,3,0.31690476190476186,0.0,0.0
random,constant,adult,rf,treeshap,3,0.35714285714285715,0.6,0.6
random,oracle,adult,rf,treeshap,3,1.0,1.0,1.0
self_top5,real,adult,rf,treeshap,3,1.0,1.0,1.0
self_top5,random,adult,rf,treeshap,3,0.27751248751248747,0.2,0.2
self_top5,permuted,adult,rf,treeshap,3,0.4980952380952381,0.4,0.4
self_top5,constant,adult,rf,treeshap,3,0.35714285714285715,0.4,0.4
self_top5,oracle,adult,rf,treeshap,3,1.0,1.0,1.0
loso_top5,real,adult,rf,treeshap,3,1.0,1.0,1.0
loso_top5,random,adult,rf,treeshap,3,0.27751248751248747,0.2,0.2
loso_top5,permuted,adult,rf,treeshap,3,0.4980952380952381,0.4,0.4
loso_top5,constant,adult,rf,treeshap,3,0.35714285714285715,0.4,0.4
loso_top5,oracle,adult,rf,treeshap,3,1.0,1.0,1.0
positional,real,adult,rf,treeshap,4,0.42358974358974355,0.4,0.4
positional,random,adult,rf,treeshap,4,0.58995670995671,0.4,0.4
positional,permuted,adult,rf,treeshap,4,0.33246031746031746,0.2,0.2
positional,constant,adult,rf,treeshap,4,0.35714285714285715,1.0,1.0
positional,oracle,adult,rf,treeshap,4,1.0,1.0,1.0
random,real,adult,rf,treeshap,4,0.5102564102564102,0.4,0.4
random,random,adult,rf,treeshap,4,0.8333333333333333,0.6,0.6
random,permuted,adult,rf,treeshap,4,0.38357142857142856,0.2,0.2
random,constant,adult,rf,treeshap,4,0.35714285714285715,0.6,0.6
random,oracle,adult,rf,treeshap,4,1.0,1.0,1.0
self_top5,real,adult,rf,treeshap,4,1.0,1.0,1.0
self_top5,random,adult,rf,treeshap,4,0.38415584415584414,0.4,0.4
self_top5,permuted,adult,rf,treeshap,4,0.558095238095238,0.6,0.6
self_top5,constant,adult,rf,treeshap,4,0.35714285714285715,0.4,0.4
self_top5,oracle,adult,rf,treeshap,4,1.0,1.0,1.0
loso_top5,real,adult,rf,treeshap,4,1.0,1.0,1.0
loso_top5,random,adult,rf,treeshap,4,0.38415584415584414,0.4,0.4
loso_top5,permuted,adult,rf,treeshap,4,0.558095238095238,0.6,0.6
loso_top5,constant,adult,rf,treeshap,4,0.35714285714285715,0.4,0.4
loso_top5,oracle,adult,rf,treeshap,4,1.0,1.0,1.0
positional,real,adult,rf,lime,0,0.48357142857142854,0.2,0.2
positional,random,adult,rf,lime,0,0.43055555555555547,0.4,0.4
positional,permuted,adult,rf,lime,0,0.7560606060606061,0.6,0.6
positional,constant,adult,rf,lime,0,0.35714285714285715,1.0,1.0
positional,oracle,adult,rf,lime,0,1.0,1.0,1.0
random,real,adult,rf,lime,0,0.6944444444444444,0.6,0.6
random,random,adult,rf,lime,0,0.4374891774891775,0.4,0.4
random,permuted,adult,rf,lime,0,0.37748917748917743,0.2,0.2
random,constant,adult,rf,lime,0,0.35714285714285715,0.4,0.4
random,oracle,adult,rf,lime,0,1.0,1.0,1.0
self_top5,real,adult,rf,lime,0,1.0,1.0,1.0
self_top5,random,adult,rf,lime,0,0.47510822510822504,0.4,0.4
self_top5,permuted,adult,rf,lime,0,0.34527417027417023,0.0,0.0
self_top5,constant,adult,rf,lime,0,0.35714285714285715,0.2,0.2
self_top5,oracle,adult,rf,lime,0,1.0,1.0,1.0
loso_top5,real,adult,rf,lime,0,1.0,1.0,1.0
loso_top5,random,adult,rf,lime,0,0.47510822510822504,0.4,0.4
loso_top5,permuted,adult,rf,lime,0,0.34527417027417023,0.0,0.0
loso_top5,constant,adult,rf,lime,0,0.35714285714285715,0.2,0.2
loso_top5,oracle,adult,rf,lime,0,1.0,1.0,1.0
positional,real,adult,rf,lime,1,0.4930952380952381,0.2,0.2
positional,random,adult,rf,lime,1,0.3871428571428571,0.4,0.4
positional,permuted,adult,rf,lime,1,0.28266622266622266,0.0,0.0
positional,constant,adult,rf,lime,1,0.35714285714285715,1.0,1.0
positional,oracle,adult,rf,lime,1,1.0,1.0,1.0
random,real,adult,rf,lime,1,0.7944444444444445,0.6,0.6
random,random,adult,rf,lime,1,0.4851948051948052,0.4,0.4
random,permuted,adult,rf,lime,1,0.646031746031746,0.4,0.4
random,constant,adult,rf,lime,1,0.35714285714285715,0.4,0.4
random,oracle,adult,rf,lime,1,1.0,1.0,1.0
self_top5,real,adult,rf,lime,1,1.0,1.0,1.0
self_top5,random,adult,rf,lime,1,0.4027272727272727,0.4,0.4
self_top5,permuted,adult,rf,lime,1,0.7892857142857141,0.6,0.6
self_top5,constant,adult,rf,lime,1,0.35714285714285715,0.2,0.2
self_top5,oracle,adult,rf,lime,1,1.0,1.0,1.0
loso_top5,real,adult,rf,lime,1,1.0,1.0,1.0
loso_top5,random,adult,rf,lime,1,0.4027272727272727,0.4,0.4
loso_top5,permuted,adult,rf,lime,1,0.7892857142857141,0.6,0.6
loso_top5,constant,adult,rf,lime,1,0.35714285714285715,0.2,0.2
loso_top5,oracle,adult,rf,lime,1,1.0,1.0,1.0
positional,real,adult,rf,lime,2,0.48357142857142854,0.2,0.2
positional,random,adult,rf,lime,2,0.3063003663003663,0.2,0.2
positional,permuted,adult,rf,lime,2,0.5259090909090909,0.4,0.4
positional,constant,adult,rf,lime,2,0.35714285714285715,1.0,1.0
positional,oracle,adult,rf,lime,2,1.0,1.0,1.0
random,real,adult,rf,lime,2,0.7753968253968253,0.6,0.6
random,random,adult,rf,lime,2,0.4180952380952381,0.4,0.4
random,permuted,adult,rf,lime,2,0.3466666666666666,0.2,0.2
random,constant,adult,rf,lime,2,0.35714285714285715,0.4,0.4
random,oracle,adult,rf,lime,2,1.0,1.0,1.0
self_top5,real,adult,rf,lime,2,1.0,1.0,1.0
self_top5,random,adult,rf,lime,2,0.7075757575757575,0.6,0.6
self_top5,permuted,adult,rf,lime,2,0.32047619047619047,0.0,0.0
self_top5,constant,adult,rf,lime,2,0.35714285714285715,0.2,0.2
self_top5,oracle,adult,rf,lime,2,1.0,1.0,1.0
loso_top5,real,adult,rf,lime,2,1.0,1.0,1.0
loso_top5,random,adult,rf,lime,2,0.7075757575757575,0.6,0.6
loso_top5,permuted,adult,rf,lime,2,0.32047619047619047,0.0,0.0
loso_top5,constant,adult,rf,lime,2,0.35714285714285715,0.2,0.2
loso_top5,oracle,adult,rf,lime,2,1.0,1.0,1.0
positional,real,adult,rf,lime,3,0.47023809523809523,0.2,0.2
positional,random,adult,rf,lime,3,0.37963369963369964,0.4,0.4
positional,permuted,adult,rf,lime,3,0.37082251082251083,0.4,0.4
positional,constant,adult,rf,lime,3,0.35714285714285715,1.0,1.0
positional,oracle,adult,rf,lime,3,1.0,1.0,1.0
random,real,adult,rf,lime,3,0.7753968253968253,0.6,0.6
random,random,adult,rf,lime,3,0.3096320346320346,0.0,0.0
random,permuted,adult,rf,lime,3,0.44965034965034967,0.4,0.4
random,constant,adult,rf,lime,3,0.35714285714285715,0.4,0.4
random,oracle,adult,rf,lime,3,1.0,1.0,1.0
self_top5,real,adult,rf,lime,3,1.0,1.0,1.0
self_top5,random,adult,rf,lime,3,0.7392857142857143,0.4,0.4
self_top5,permuted,adult,rf,lime,3,0.5445421245421245,0.6,0.6
self_top5,constant,adult,rf,lime,3,0.35714285714285715,0.2,0.2
self_top5,oracle,adult,rf,lime,3,1.0,1.0,1.0
loso_top5,real,adult,rf,lime,3,1.0,1.0,1.0
loso_top5,random,adult,rf,lime,3,0.7392857142857143,0.4,0.4
loso_top5,permuted,adult,rf,lime,3,0.5445421245421245,0.6,0.6
loso_top5,constant,adult,rf,lime,3,0.35714285714285715,0.2,0.2
loso_top5,oracle,adult,rf,lime,3,1.0,1.0,1.0
positional,real,adult,rf,lime,4,0.4965367965367965,0.2,0.2
positional,random,adult,rf,lime,4,0.5208119658119659,0.4,0.4
positional,permuted,adult,rf,lime,4,0.37965034965034966,0.4,0.4
positional,constant,adult,rf,lime,4,0.35714285714285715,1.0,1.0
positional,oracle,adult,rf,lime,4,1.0,1.0,1.0
random,real,adult,rf,lime,4,0.8333333333333333,0.6,0.6
random,random,adult,rf,lime,4,0.5380952380952382,0.4,0.4
random,permuted,adult,rf,lime,4,0.6441558441558441,0.4,0.4
random,constant,adult,rf,lime,4,0.35714285714285715,0.4,0.4
random,oracle,adult,rf,lime,4,1.0,1.0,1.0
self_top5,real,adult,rf,lime,4,1.0,1.0,1.0
self_top5,random,adult,rf,lime,4,0.3538095238095238,0.2,0.2
self_top5,permuted,adult,rf,lime,4,0.5047619047619047,0.4,0.4
self_top5,constant,adult,rf,lime,4,0.35714285714285715,0.2,0.2
self_top5,oracle,adult,rf,lime,4,1.0,1.0,1.0
loso_top5,real,adult,rf,lime,4,1.0,1.0,1.0
loso_top5,random,adult,rf,lime,4,0.3538095238095238,0.2,0.2
loso_top5,permuted,adult,rf,lime,4,0.5047619047619047,0.4,0.4
loso_top5,constant,adult,rf,lime,4,0.35714285714285715,0.2,0.2
loso_top5,oracle,adult,rf,lime,4,1.0,1.0,1.0
positional,real,adult,hgb,treeshap,0,0.5944444444444444,0.6,0.6
positional,random,adult,hgb,treeshap,0,0.3347619047619047,0.2,0.2
