delta,ds,model,seed,clean_acc,spur_acc,gen_gap,rel_share,rel_rank,sal_share,attr_rank,top5_frac
0.5,bank_marketing,hgb,3,0.9073,0.8947,0.0127,0.1811,2,0.1771,2,0.77
0.5,bank_marketing,hgb,4,0.9084,0.8964,0.012,0.1817,2,0.1866,2,0.8
1.0,adult,rf,0,0.8469,0.7869,0.06,0.2983,1,0.3035,1,0.99
1.0,adult,rf,1,0.8473,0.7907,0.0567,0.2927,1,0.287,1,0.98
1.0,adult,rf,2,0.8469,0.7911,0.0558,0.2736,1,0.2861,1,0.99
1.0,adult,rf,3,0.8453,0.7902,0.0551,0.2885,1,0.2935,1,0.98
1.0,adult,rf,4,0.8469,0.7873,0.0596,0.2902,1,0.2909,1,0.97
1.0,adult,hgb,0,0.8629,0.784,0.0789,0.344,1,0.3594,1,0.92
1.0,adult,hgb,1,0.8653,0.7847,0.0807,0.3639,1,0.3553,1,0.92
1.0,adult,hgb,2,0.8631,0.7796,0.0836,0.3448,1,0.3606,1,0.92
1.0,adult,hgb,3,0.8662,0.7796,0.0867,0.3726,1,0.3837,1,0.94
1.0,adult,hgb,4,0.8678,0.7822,0.0856,0.3441,1,0.3502,1,0.95
1.0,credit_g,rf,0,0.7533,0.7133,0.04,0.3637,1,0.397,1,0.98
1.0,credit_g,rf,1,0.7567,0.7133,0.0433,0.3815,1,0.4072,1,0.98
1.0,credit_g,rf,2,0.7467,0.71,0.0367,0.3513,1,0.3671,1,0.98
1.0,credit_g,rf,3,0.7367,0.71,0.0267,0.3639,1,0.3997,1,0.97
1.0,credit_g,rf,4,0.7567,0.7033,0.0533,0.3586,1,0.3944,1,0.97
1.0,credit_g,hgb,0,0.75,0.6833,0.0667,0.3899,1,0.4274,1,0.99
1.0,credit_g,hgb,1,0.7833,0.68,0.1033,0.3966,1,0.4232,1,0.99
1.0,credit_g,hgb,2,0.7633,0.6933,0.07,0.4862,1,0.5272,1,0.99
1.0,credit_g,hgb,3,0.7567,0.6767,0.08,0.4178,1,0.4422,1,0.96
1.0,credit_g,hgb,4,0.7633,0.68,0.0833,0.4301,1,0.4413,1,0.98
1.0,bank_marketing,rf,0,0.9,0.8793,0.0207,0.2852,1,0.3403,1,1.0
1.0,bank_marketing,rf,1,0.8982,0.8809,0.0173,0.3052,1,0.3412,1,0.98
1.0,bank_marketing,rf,2,0.8987,0.8798,0.0189,0.3064,1,0.3624,1,0.99
1.0,bank_marketing,rf,3,0.8993,0.8782,0.0211,0.2777,1,0.3449,1,0.99
1.0,bank_marketing,rf,4,0.8989,0.8787,0.0202,0.3172,1,0.3723,1,0.99
1.0,bank_marketing,hgb,0,0.904,0.8758,0.0282,0.3373,1,0.4203,1,0.91
1.0,bank_marketing,hgb,1,0.9076,0.8729,0.0347,0.3456,1,0.4147,1,0.87
1.0,bank_marketing,hgb,2,0.9084,0.8756,0.0329,0.3406,1,0.4022,1,0.88
1.0,bank_marketing,hgb,3,0.9073,0.8776,0.0298,0.3253,1,0.4227,1,0.93
1.0,bank_marketing,hgb,4,0.9084,0.8769,0.0316,0.3494,1,0.3883,1,0.92
1.5,adult,rf,0,0.8469,0.766,0.0809,0.3953,1,0.3454,1,0.94
1.5,adult,rf,1,0.8473,0.7518,0.0956,0.4081,1,0.3399,1,0.92
1.5,adult,rf,2,0.8469,0.7718,0.0751,0.3946,1,0.3337,1,0.95
1.5,adult,rf,3,0.8453,0.7596,0.0858,0.417,1,0.3546,1,0.92
1.5,adult,rf,4,0.8469,0.766,0.0809,0.4103,1,0.3506,1,0.92
1.5,adult,hgb,0,0.8629,0.7202,0.1427,0.5727,1,0.5331,1,0.89
1.5,adult,hgb,1,0.8653,0.7238,0.1416,0.5513,1,0.5093,1,0.94
1.5,adult,hgb,2,0.8631,0.7207,0.1424,0.5719,1,0.5563,1,0.94
1.5,adult,hgb,3,0.8662,0.7227,0.1436,0.5815,1,0.5673,1,0.93
1.5,adult,hgb,4,0.8678,0.7222,0.1456,0.5761,1,0.5591,1,0.92
1.5,credit_g,rf,0,0.7533,0.6467,0.1067,0.453,1,0.4659,1,0.98
1.5,credit_g,rf,1,0.7567,0.64,0.1167,0.4597,1,0.4911,1,1.0
1.5,credit_g,rf,2,0.7467,0.68,0.0667,0.4206,1,0.4435,1,1.0
1.5,credit_g,rf,3,0.7367,0.6467,0.09,0.4785,1,0.5043,1,1.0
1.5,credit_g,rf,4,0.7567,0.6433,0.1133,0.4633,1,0.4787,1,1.0
1.5,credit_g,hgb,0,0.75,0.6167,0.1333,0.7429,1,0.7426,1,0.96
1.5,credit_g,hgb,1,0.7833,0.6333,0.15,0.6979,1,0.6802,1,0.98
1.5,credit_g,hgb,2,0.7633,0.64,0.1233,0.6658,1,0.6416,1,0.97
1.5,credit_g,hgb,3,0.7567,0.6367,0.12,0.6242,1,0.6021,1,0.97
1.5,credit_g,hgb,4,0.7633,0.6167,0.1467,0.6317,1,0.5783,1,0.97
1.5,bank_marketing,rf,0,0.9,0.8413,0.0587,0.3958,1,0.424,1,0.97
1.5,bank_marketing,rf,1,0.8982,0.8489,0.0493,0.3986,1,0.4107,1,0.99
1.5,bank_marketing,rf,2,0.8987,0.8371,0.0616,0.4403,1,0.4374,1,0.97
1.5,bank_marketing,rf,3,0.8993,0.8409,0.0584,0.4207,1,0.431,1,0.97
1.5,bank_marketing,rf,4,0.8989,0.8342,0.0647,0.4523,1,0.4643,1,0.96
1.5,bank_marketing,hgb,0,0.904,0.8456,0.0584,0.5032,1,0.5571,1,0.96
1.5,bank_marketing,hgb,1,0.9076,0.8429,0.0647,0.4957,1,0.5309,1,1.0
1.5,bank_marketing,hgb,2,0.9084,0.8464,0.062,0.5103,1,0.5374,1,1.0
1.5,bank_marketing,hgb,3,0.9073,0.8449,0.0624,0.4907,1,0.5557,1,0.98
1.5,bank_marketing,hgb,4,0.9084,0.8462,0.0622,0.4617,1,0.5067,1,0.98
